Date,High,Low,Mid,Last,Bid,Ask,Volume,First
2021-05-07,58635.0,55300.0,56950.0,56960.8923737,56948.0,56952.0,6972.60127464,56426.0
2021-05-08,59450.0,56939.0,58659.5,58659.0,58659.0,58660.0,7609.16187821,56960.8923737
2021-05-09,59236.51695169,56255.0,58029.5,58029.0,58029.0,58030.0,8304.61304862,58659.0
2021-05-10,59589.77113765,53844.0,55952.5,55953.0,55952.0,55953.0,13488.76058159,58029.0
2021-05-11,56870.0,54138.73738416,56471.5,56472.0,56471.0,56472.0,7796.8454499,55953.0
2021-05-12,58000.0,51653.02979982,52576.0,52580.0,52575.0,52577.0,12058.28205902,56472.0
2021-05-13,52882.0,46601.04807999,49475.0,49471.0,49471.0,49479.0,23642.24704204,52580.0
2021-05-14,51512.0,48488.0,49963.5,49955.0,49963.0,49964.0,6173.56486362,49471.0
2021-05-15,50737.0,46984.0,48200.5,48213.53035729,48200.0,48201.0,9092.73654086,49955.0
2021-05-16,49870.0,44021.0,45788.5,45788.38294596,45788.0,45789.0,18836.81275908,48213.53035729
2021-05-17,46796.0,42128.0,42931.0,42930.0,42930.0,42932.0,37499.22854647,45788.38294596
2021-05-18,45800.0,42444.0,43158.5,43159.0,43158.0,43159.0,10697.79464358,42930.0
2021-05-19,43600.0,29563.0,39517.0,39511.0,39514.0,39520.0,67172.17296696,43159.0
2021-05-20,42300.0,34985.0,39951.5,39954.0,39949.0,39954.0,25443.60212469,39511.0
2021-05-21,42298.12038263,33552.0,36780.5,36795.0,36772.0,36789.0,23231.77339274,39954.0
2021-05-22,38956.0,35372.0,37682.0,37677.0,37675.0,37689.0,13983.80841533,36795.0
2021-05-23,38384.0,31230.0,34028.5,34015.47186355,34020.0,34037.0,25664.61219176,37677.0
2021-05-24,39966.0,33911.80131251,38356.5,38349.0,38351.0,38362.0,15250.16213094,34015.47186355
2021-05-25,39829.42639126,36455.0,38642.0,38663.57915565,38641.0,38643.0,7974.68521495,38349.0
2021-05-26,40884.0,37851.57741397,38939.0,38932.39142434,38937.0,38941.0,8544.09497079,38663.57915565
2021-05-27,40500.0,37221.0,38650.0,38642.0,38646.0,38654.0,5499.51266377,38932.39142434
2021-05-28,38889.0,34721.0,34958.0,34956.0,34953.0,34963.0,10042.79143239,38642.0
2021-05-29,37381.0,33617.0,34393.0,34411.0,34389.0,34397.0,7383.55574071,34956.0
2021-05-30,36419.0,33367.0,35763.5,35766.0,35760.0,35767.0,6508.99751049,34411.0
2021-05-31,37444.0,34160.0,36984.0,36996.0,36978.0,36990.0,5891.15383364,35766.0
2021-06-01,37888.0,35659.0,36299.5,36299.09930157,36299.0,36300.0,5364.83186376,36996.0
2021-06-02,38222.0,35933.0,37468.5,37467.0,37463.0,37474.0,4003.04615103,36299.09930157
2021-06-03,39482.0,37179.0,38977.5,38977.14668646,38977.0,38978.0,5410.09204877,37467.0
2021-06-04,39275.0,35586.0,37179.5,37179.0,37179.0,37180.0,6032.0645307,38977.14668646
2021-06-05,37924.0,34822.56648447,35085.5,35085.0,35085.0,35086.0,6576.60306077,37179.0
2021-06-06,36475.0,35089.0,35358.0,35361.27269334,35357.0,35359.0,5923.34732826,35085.0
2021-06-07,36784.0,33550.0,34124.5,34124.0,34124.0,34125.0,9817.04592625,35361.27269334
2021-06-08,34175.0,31075.0,33437.5,33438.0,33437.0,33438.0,13414.67917527,34124.0
2021-06-09,37209.0,32469.0,37083.5,37077.0,37083.0,37084.0,26641.46843206,33438.0
2021-06-10,38337.0,35816.0,36726.0,36736.0,36723.0,36729.0,9870.16665336,37077.0
2021-06-11,37650.0,35929.0,37454.0,37450.0,37451.0,37457.0,6258.40148294,36736.0
2021-06-12,37461.34593121,34630.0,35621.5,35622.0,35621.0,35622.0,7552.95982928,37450.0
2021-06-13,39374.0,34800.0,38821.5,38818.19015958,38819.0,38824.0,8286.04642937,35622.0
2021-06-14,40980.0,38730.0,40234.5,40237.57962233,40231.0,40238.0,10141.9143256,38818.19015958
2021-06-15,41273.0,39445.88757188,40150.5,40150.0,40150.0,40151.0,7851.82488073,40237.57962233
2021-06-16,40460.0,38255.0,38573.5,38574.98425645,38573.0,38574.0,6660.40200569,40150.0
2021-06-17,39519.0,37387.0,37833.5,37839.0,37829.0,37838.0,3664.85666029,38574.98425645
2021-06-18,38204.0,35137.0,35479.0,35473.0,35475.0,35483.0,11149.38856429,37839.0
2021-06-19,36447.0,34819.0,35678.5,35680.0,35677.0,35680.0,11678.28962023,35473.0
2021-06-20,36226.37661535,33411.0,35720.0,35712.0,35717.0,35723.0,16983.7170717,35680.0
2021-06-21,35832.0,31368.0,31710.0,31695.72768548,31708.0,31712.0,22437.67018152,35712.0
2021-06-22,33368.0,29247.0,32385.5,32394.0,32383.0,32388.0,27469.21824772,31695.72768548
2021-06-23,34778.0,31790.0,33444.5,33467.0,33443.0,33446.0,9220.33817457,32394.0
2021-06-24,35290.0,32343.0,34700.0,34713.0,34697.0,34703.0,4917.75768175,33467.0
2021-06-25,35495.0,31323.0,31372.5,31372.0,31372.0,31373.0,37327.39182412,34713.0
2021-06-26,32661.0,30206.0,31845.5,31846.0,31845.0,31846.0,19009.74539597,31372.0
2021-06-27,34380.0,31799.0,34247.5,34265.39695127,34243.0,34252.0,29518.79408445,31846.0
2021-06-28,35319.0,33897.0,34424.0,34428.48219863,34419.0,34429.0,6583.07606613,34265.39695127
2021-06-29,36600.0,34151.0,36154.0,36142.0,36153.0,36155.0,5442.17128352,34428.48219863
2021-06-30,36197.0,34428.0,34885.5,34888.36800874,34881.0,34890.0,3345.76983836,36142.0
2021-07-01,35218.0,32720.0,33582.5,33588.84639428,33578.0,33587.0,5803.38519645,34888.36800874
2021-07-02,33983.0,32700.0,33633.5,33634.0,33633.0,33634.0,5117.68541665,33588.84639428
2021-07-03,34948.0,33350.0,34458.0,34457.59104513,34454.0,34462.0,2993.51458027,33634.0
2021-07-04,35950.0,34356.0,35370.5,35370.0,35370.0,35371.0,2607.69698206,34457.59104513
2021-07-05,35468.0,33126.0,34026.5,34026.38274026,34026.0,34027.0,7811.98682603,35370.0
2021-07-06,35196.0,33555.0,34107.5,34107.88019104,34107.0,34108.0,8722.07952786,34026.38274026
2021-07-07,35091.0,33989.0,34194.5,34198.0,34193.0,34196.0,3672.01166298,34107.88019104
2021-07-08,34152.90231241,32063.0,32558.0,32562.0,32557.0,32559.0,14374.33389807,34198.0
2021-07-09,34059.0,32237.0,33927.5,33927.95897072,33927.0,33928.0,6183.63132574,32562.0
2021-07-10,34242.0,33011.0,33528.5,33529.0,33528.0,33529.0,6827.11648232,33927.95897072
2021-07-11,34590.0,33316.0,34402.5,34406.0,34401.0,34404.0,2169.86049614,33529.0
2021-07-12,34655.0,32600.0,33036.5,33036.0,33036.0,33037.0,8260.54614168,34406.0
2021-07-13,33337.0,32190.0,32454.5,32456.0,32453.0,32456.0,4094.66027916,33036.0
2021-07-14,33128.0,31588.0,33036.0,33034.0,33035.0,33037.0,5140.9268627,32456.0
2021-07-15,33200.0,31150.0,31767.5,31767.0,31767.0,31768.0,6882.17856742,33034.0
2021-07-16,32271.0,31044.0,31611.5,31611.10720834,31611.0,31612.0,4851.1264799,31767.0
2021-07-17,32000.0,31210.0,31665.5,31665.0,31665.0,31666.0,13657.25585815,31611.10720834
2021-07-18,32453.0,31111.0,31579.5,31578.0,31578.0,31581.0,12204.92035264,31665.0
2021-07-19,31957.0,30500.0,30918.5,30919.0,30918.0,30919.0,13323.07875594,31578.0
2021-07-20,31079.0,29313.0,29544.5,29544.62977015,29543.0,29546.0,9025.63949357,30919.0
2021-07-21,32850.0,29523.0,32062.5,32060.0,32060.0,32065.0,8022.25823718,29544.62977015
2021-07-22,32610.0,31735.0,32221.0,32227.0,32219.0,32223.0,5298.9523922,32060.0
2021-07-23,33294.0,32020.0,33083.5,33083.0,33082.0,33085.0,3567.39717063,32227.0
2021-07-24,34527.0,33115.59971701,34033.5,34034.0,34033.0,34034.0,2768.08665482,33083.0
2021-07-25,34819.0,33886.0,34558.5,34557.0,34558.0,34559.0,2194.33291899,34034.0
2021-07-26,40595.0,34611.0,37280.5,37279.0,37276.0,37285.0,16418.30610459,34557.0
2021-07-27,39235.22676012,36418.0,39109.0,39108.0,39108.0,39110.0,5981.30211458,37279.0
2021-07-28,40900.0,38731.0,39608.5,39608.0,39608.0,39609.0,7996.06029731,39108.0
2021-07-29,40623.0,39272.0,39797.0,39798.0,39796.0,39798.0,3822.20234608,39608.0
2021-07-30,41681.0,38343.0,41339.5,41348.0,41339.0,41340.0,6776.26920617,39798.0
2021-07-31,42398.0,41051.0,41797.5,41797.0,41796.0,41799.0,6142.5652777,41348.0
2021-08-01,42532.0,40055.0,40229.5,40228.0,40229.0,40230.0,8326.76642148,41797.0
2021-08-02,40449.0,38716.0,39414.5,39415.0,39414.0,39415.0,5369.812448,40228.0
2021-08-03,39781.0,37663.0,38267.5,38259.0,38267.0,38268.0,5200.86149573,39415.0
2021-08-04,39965.0,37519.81411605,39687.5,39660.0,39687.0,39688.0,3634.20013757,38259.0
2021-08-05,41352.0,37318.0,41022.5,41029.0,41022.0,41023.0,6259.25436068,39660.0
2021-08-06,43385.0,39900.0,42633.0,42628.0,42632.0,42634.0,6587.66538424,41029.0
2021-08-07,44553.0,42380.0,44016.5,44000.0,44015.0,44018.0,9083.01734832,42628.0
2021-08-08,45250.0,43300.0,44302.0,44298.0,44298.0,44306.0,7824.82452734,44000.0
2021-08-09,46438.0,42790.0,46254.5,46254.0,46254.0,46255.0,11074.24990168,44298.0
2021-08-10,46695.0,44635.0,45614.5,45615.0,45614.0,45615.0,6100.12658848,46254.0
2021-08-11,46727.0,45241.0,45701.5,45700.0,45701.0,45702.0,4357.31615489,45615.0
2021-08-12,46186.0,43786.0,43951.5,43955.0,43951.0,43952.0,5879.63196459,45700.0
2021-08-13,47967.0,43980.0,47628.5,47632.0,47628.0,47629.0,7389.84093215,43955.0
2021-08-14,48141.0,45935.0,46945.5,46946.0,46945.0,46946.0,4399.57322832,47632.0
2021-08-15,47369.0,45471.0,47225.5,47218.0,47225.0,47226.0,3755.54437068,46946.0
2021-08-16,48069.0,45689.0,46074.5,46068.9414608,46074.0,46075.0,5939.62595614,47218.0
2021-08-17,47167.0,44441.0,44899.5,44900.0,44899.0,44900.0,6984.10263744,46068.9414608
2021-08-18,46010.0,44266.0,44790.5,44792.0,44790.0,44791.0,5672.42456962,44900.0
2021-08-19,46875.0,43992.0,46445.5,46446.0,46445.0,46446.0,5938.98746849,44792.0
2021-08-20,49400.0,46555.0,49082.5,49082.0,49082.0,49083.0,6045.71700276,46446.0
2021-08-21,49788.0,48219.0,49352.5,49352.0,49352.0,49353.0,4023.85225174,49082.0
2021-08-22,49469.0,48075.0,49077.5,49079.0,49077.0,49078.0,2584.83273575,49352.0
2021-08-23,50558.0,49055.0,49634.5,49634.0,49634.0,49635.0,5551.77417354,49079.0
2021-08-24,49860.0,47765.0,48202.5,48206.0,48202.0,48203.0,4440.91046973,49634.0
2021-08-25,49255.0,47142.96628448,48837.5,48837.0,48837.0,48838.0,4423.72471027,48206.0
2021-08-26,49385.0,46310.0,47255.5,47255.35815582,47255.0,47256.0,6439.494019,48837.0
2021-08-27,49159.0,46363.0,48987.5,48987.14211391,48987.0,48988.0,5753.92944721,47255.35815582
2021-08-28,49310.0,48385.91723403,48809.5,48818.8084757,48805.0,48814.0,2394.47066267,48987.14211391
2021-08-29,49650.0,47760.0,49156.5,49156.0,49156.0,49157.0,3903.47825993,48818.8084757
2021-08-30,49303.5759517,47417.0,47765.5,47766.0,47765.0,47766.0,3417.06874063,49156.0
2021-08-31,48244.0,46725.0,47056.5,47057.0,47056.0,47057.0,4959.14711793,47766.0
2021-09-01,49139.0,46590.0,48430.5,48431.0,48430.0,48431.0,5657.36389129,47057.0
2021-09-02,50365.0,48411.77483216,49701.5,49702.0,49701.0,49702.0,5043.52491415,48431.0
2021-09-03,51142.0,48332.0,49754.5,49762.0,49754.0,49755.0,7243.76339199,49702.0
2021-09-04,50544.0,49401.0,49969.5,49969.6922478,49969.0,49970.0,2374.7115724,49762.0
2021-09-05,51888.0,49470.0,51774.5,51775.0,51774.0,51775.0,5247.21538428,49969.6922478
2021-09-06,52624.0,51050.0,52505.5,52505.42929973,52505.0,52506.0,4740.88924728,51775.0
2021-09-07,52888.0,43220.0,46849.0,46849.36794365,46848.0,46850.0,16860.51160238,52505.42929973
2021-09-08,47351.0,44472.0,46669.5,46653.0,46667.0,46672.0,7637.242675,46849.36794365
2021-09-09,47398.57959466,45546.0,46488.5,46488.0,46488.0,46489.0,3910.95295801,46653.0
2021-09-10,47044.0,44155.0,44748.0,44747.0,44747.0,44749.0,5114.23707823,46488.0
2021-09-11,45990.0,44271.0,45171.5,45194.0,45171.0,45172.0,2492.93199434,44747.0
2021-09-12,46245.0,44774.17967564,45544.5,45544.86044058,45544.0,45545.0,3164.91146337,45194.0
2021-09-13,46874.0,43444.0,45005.0,45000.0,45004.0,45006.0,8972.55727052,45544.86044058
2021-09-14,47238.51708787,44699.0,47092.5,47092.0,47092.0,47093.0,3503.4421497,45000.0
2021-09-15,48429.0,46724.0,48137.5,48136.0,48137.0,48138.0,3825.09531549,47092.0
2021-09-16,48530.0,47061.0,47595.5,47595.0,47595.0,47596.0,3696.30785404,48136.0
2021-09-17,48183.0,46771.0,47153.5,47153.0,47153.0,47154.0,2483.08723179,47595.0
2021-09-18,48819.0,46931.0,47963.5,47963.62156768,47963.0,47964.0,2031.22873125,47153.0
2021-09-19,48370.29414611,46837.0,47111.5,47126.0,47111.0,47112.0,2306.76852821,47963.62156768
2021-09-20,47365.0,42567.0,43542.5,43515.0,43542.0,43543.0,12063.43249475,47126.0
2021-09-21,43630.0,39678.0,40960.5,40945.0,40960.0,40961.0,14563.8855348,43515.0
2021-09-22,44000.0,40222.0,43500.5,43494.0,43500.0,43501.0,8928.78944024,40945.0
2021-09-23,44953.0,43102.0,44778.5,44782.0,44778.0,44779.0,5276.49570432,43494.0
2021-09-24,45164.4867643,40755.0,42991.5,42982.33181548,42991.0,42992.0,11694.22678227,44782.0
2021-09-25,43071.0,41728.0,42770.5,42771.0,42770.0,42771.0,3041.37515508,42982.33181548
2021-09-26,43963.0,40800.0,43472.5,43476.0,43472.0,43473.0,5193.02451562,42771.0
2021-09-27,44355.99143738,42620.0,43112.5,43111.0,43110.0,43115.0,4184.93641007,43476.0
2021-09-28,43249.0,41158.0,41735.0,41730.0,41733.0,41737.0,5509.99106243,43111.0
2021-09-29,42606.0,40804.0,41396.5,41400.84614868,41394.0,41399.0,5259.99427184,41730.0
2021-09-30,44122.0,41189.0,43728.0,43729.0,43726.0,43730.0,5161.5741494,41400.84614868
2021-10-01,48464.0,43311.0,47990.5,47991.0,47990.0,47991.0,8280.79611995,43729.0
2021-10-02,48350.0,47438.0,48148.5,48147.0,48148.0,48149.0,1931.2801141,47991.0
